label_uid,label_id,region_id,region_class,pano_id,pano_in_run,capture_date,vintage,months_ours_minus_theirs,human,feed_correct,pano_agree_0.3,world_agree_0.3_2.6m,world_agree_0.3_per-pano,pano_agree_0.55,world_agree_0.55_2.6m,world_agree_0.55_per-pano
gainesville:24921,24921,40,full,DRmINDVp4lZccQxg0tLhPw,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,True
gainesville:24923,24923,40,full,eoU5YNdjuVYPzH3sSdS9ZQ,True,2023-09,same pano,0,agreed,True,False,True,True,False,False,True
gainesville:24925,24925,40,full,eoU5YNdjuVYPzH3sSdS9ZQ,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:24928,24928,40,full,_oHCPmXrt0djAr5BlicC2w,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:24930,24930,40,full,_oHCPmXrt0djAr5BlicC2w,True,2023-09,same pano,0,agreed,True,False,False,True,False,False,False
gainesville:24931,24931,40,full,_oHCPmXrt0djAr5BlicC2w,True,2023-09,same pano,0,agreed,True,False,True,False,False,False,False
gainesville:24932,24932,40,full,_oHCPmXrt0djAr5BlicC2w,True,2023-09,same pano,0,agreed,True,True,True,True,True,False,False
gainesville:24937,24937,40,full,8Cl997PGJoURgyn88vdqWw,True,2024-06,same pano,0,agreed,True,True,True,True,True,True,True
gainesville:24938,24938,40,full,8Cl997PGJoURgyn88vdqWw,True,2024-06,same pano,0,agreed,True,True,True,True,False,True,True
gainesville:24941,24941,40,full,Sh0RUWw0GZyWx4wjUVGoCg,True,2024-06,same pano,0,agreed,True,True,False,True,True,True,True
gainesville:24942,24942,40,full,Sh0RUWw0GZyWx4wjUVGoCg,True,2024-06,same pano,0,agreed,True,False,True,True,False,True,True
gainesville:24943,24943,40,full,YYELa1N-gPL5e9q7bUX4Ng,True,2024-06,same pano,0,agreed,True,True,True,True,True,False,False
gainesville:24944,24944,40,full,YYELa1N-gPL5e9q7bUX4Ng,True,2024-06,same pano,0,agreed,True,False,True,True,False,True,True
gainesville:24945,24945,40,full,6EcCUl9LhLXnIT5Y6cDrPg,True,2024-06,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:24976,24976,14,full,8s-u7AKrJ66GR6bnJDgZ0g,True,2018-10,same pano,0,agreed,True,True,True,True,True,True,True
gainesville:24977,24977,14,full,8s-u7AKrJ66GR6bnJDgZ0g,True,2018-10,same pano,0,agreed,True,True,True,True,True,True,False
gainesville:24978,24978,14,full,8s-u7AKrJ66GR6bnJDgZ0g,True,2018-10,same pano,0,agreed,True,True,True,True,True,True,True
gainesville:24994,24994,14,full,4jcSVBC9oGyngar1lr_2vw,True,2024-06,same pano,0,agreed,True,True,True,True,True,True,True
gainesville:24998,24998,20,full,G3CcJbny_NlHH0KtSxeXZA,False,2018-10,newer than ours,-131,agreed,True,,False,False,,False,False
gainesville:24999,24999,20,full,G3CcJbny_NlHH0KtSxeXZA,False,2018-10,newer than ours,-131,agreed,True,,False,False,,False,False
gainesville:25000,25000,14,full,G3CcJbny_NlHH0KtSxeXZA,False,2018-10,newer than ours,-131,agreed,True,,False,False,,False,False
gainesville:25002,25002,14,full,G3CcJbny_NlHH0KtSxeXZA,False,2018-10,newer than ours,-131,agreed,True,,True,True,,False,False
gainesville:25009,25009,14,full,PLa9Z4UKDYwuNG0CXn-sNA,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25010,25010,14,full,PLa9Z4UKDYwuNG0CXn-sNA,True,2023-09,same pano,0,agreed,True,False,True,False,False,True,False
gainesville:25011,25011,14,full,PLa9Z4UKDYwuNG0CXn-sNA,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25013,25013,14,full,pUNSkyqKUD_zBXBuucwqYg,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25014,25014,14,full,pUNSkyqKUD_zBXBuucwqYg,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25016,25016,14,full,EPSvua1T9fJnBbNuSvHWXA,True,2023-09,same pano,0,agreed,True,False,True,True,False,True,True
gainesville:25017,25017,14,full,EPSvua1T9fJnBbNuSvHWXA,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25019,25019,14,full,TxDF_f7gz9m38HHzW5shIw,True,2023-09,same pano,0,agreed,True,True,True,True,False,True,True
gainesville:25020,25020,14,full,yf_Pz7wdfFyURf5JounISw,True,2023-09,same pano,0,agreed,True,False,True,True,False,False,False
gainesville:25024,25024,14,full,9-QdV6CmUWIoEpUHqtlnNQ,True,2023-09,same pano,0,agreed,True,True,True,True,True,True,True
gainesville:25025,25025,14,full,9-QdV6CmUWIoEpUHqtlnNQ,True,2023-09,same pano,0,agreed,True,False,True,True,False,True,True
gainesville:25027,25027,14,full,Kc72ClK9WhKOW7xqGTxxYg,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25028,25028,14,full,L9oXBZPYfgJXnfUwfphhqQ,True,2023-09,same pano,0,agreed,True,False,True,True,False,True,True
gainesville:25029,25029,14,full,L9oXBZPYfgJXnfUwfphhqQ,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25031,25031,14,full,Ok75M_ynbe92NAuzx06iRw,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25033,25033,14,full,Ok75M_ynbe92NAuzx06iRw,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25034,25034,14,full,8RPQY_PI0bvQ8y8iSrkQ1Q,True,2023-09,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25036,25036,14,full,RYoOlv9qPUkOhrpOUiMs_A,True,2023-09,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25038,25038,14,full,LgSbwshnisyLZ99EyBTUbw,True,2024-06,same pano,0,agreed,True,True,True,True,True,False,True
gainesville:25039,25039,14,full,U59Ym5i0cijPzhX6Rdjfag,True,2024-06,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25042,25042,14,full,L6TVc-EyxTHPQaW4ebpRLw,True,2021-03,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25043,25043,14,full,L6TVc-EyxTHPQaW4ebpRLw,True,2021-03,same pano,0,agreed,True,False,False,False,False,False,False
gainesville:25045,25045,14,full,M8vQFNkT0AkfgV133LJVOA,True,2019-06,same pano,0,agreed,True,True,True,True,True,True,True
gainesville:25046,25046,14,full,M8vQFNkT0AkfgV133LJVOA,True,2019-06,same pano,0,agreed,True,True,False,False,True,False,True
gainesville:25048,25048,14,full,XWhHaUuheK2ypAkTt10B8A,True,2021-03,same pano,0,agreed,True,True,False,False,True,False,False
gainesville:25050,25050,14,full,XWhHaUuheK2ypAkTt10B8A,True,2021-03,same pano,0,agreed,True,True,False,True,True,False,False
gainesville:25078,25078,14,full,EneZBjyW7g9KvZZTuvhW1w,True,2023-09,same pano,0,unvalidated,True,False,True,True,False,False,False
gainesville:25079,25079,14,full,EneZBjyW7g9KvZZTuvhW1w,True,2023-09,same pano,0,unvalidated,True,False,False,False,False,False,False
gainesville:25080,25080,14,full,EneZBjyW7g9KvZZTuvhW1w,True,2023-09,same pano,0,unvalidated,True,False,True,True,False,False,False
gainesville:25081,25081,14,full,EneZBjyW7g9KvZZTuvhW1w,True,2023-09,same pano,0,unvalidated,True,True,True,True,True,True,True
gainesville:25083,25083,14,full,KPnJu6pLFJ-Ueh6vWi57Cw,True,2021-03,same pano,0,unvalidated,,True,True,True,True,True,True
